run_id	date	backend	quantization	kv_cache	ctx_size	ubatch_size	spec_type	spec_draft_n_max	spec_draft_p_min	samples	decode_mean	decode_sd	decode_sem	prefill_mean	prefill_sd	r9700_vram_bytes	predicted_tokens	drafted	accepted	verif_steps	acceptance	mean_accepted_len	pos0	pos1	output_hashes	status	notes
qwen38-kv-f16-mtp	2026-08-16	vulkan	UD-Q4_K_XL	f16/f16	163840	512	draft-mtp	2	0.3	5	53.8248	0.5944	0.2658	721.2766	3.8418	29779369984	256	1013	760	509	0.7502	2.4931	0.8566	0.6365	e351b10a45d06917;8962c94bfbccaa4e;6f0678013900ae59;a194804e9c7c88a6;4d571693bfa73658	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-f16-base	2026-08-16	vulkan	UD-Q4_K_XL	f16/f16	163840	512	none			5	29.4068	0.0121	0.0054	740.9105	15.1915	28259205120	256	0	0	0					77e8d9c124f13ebf;44032471c1f9fadd;249ca6573642cc82;cc3ab35d02c8589f;6db586cf25264355	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-q8_0-mtp	2026-08-16	vulkan	UD-Q4_K_XL	q8_0/q8_0	163840	512	draft-mtp	2	0.3	5	52.5948	0.7216	0.3227	700.8625	1.4295	24744341504	256	1013	759	513	0.7493	2.4795	0.8577	0.6218	6c696a1609ed71eb;765c10c3880f0cca;d97a56eb1f14df74;a194804e9c7c88a6;4d571693bfa73658	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-q8_0-base	2026-08-16	vulkan	UD-Q4_K_XL	q8_0/q8_0	163840	512	none			5	29.2408	0.0074	0.0033	741.8293	1.3718	23224176640	256	0	0	0					77e8d9c124f13ebf;f1b04e7a21badfba;d64539703a232a4f;856d42768d527544;ed0a010c1eb40d3f	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-q4_0-mtp	2026-08-16	vulkan	UD-Q4_K_XL	q4_0/q4_0	163840	512	draft-mtp	2	0.3	5	52.4400	0.4854	0.2171	689.1690	25.8166	22059978752	256	1011	757	509	0.7488	2.4872	0.8605	0.6267	77b4a4bf7ab6d235;17e0e9d028c60422;4a3eeaf504cf3cf3;289c6d4c4aaf5cb0;4d571693bfa73658	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-q4_0-base	2026-08-16	vulkan	UD-Q4_K_XL	q4_0/q4_0	163840	512	none			5	29.2058	0.0056	0.0025	742.1025	0.8094	20539813888	256	0	0	0					59cb100dfffd6d28;c3d2227c807519a4;dcd8fced1f0e3743;a247cdac690a0f32;db25a4931953a02a	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-f16-mtp-rep2	2026-08-16	vulkan	UD-Q4_K_XL	f16/f16	163840	512	draft-mtp	2	0.3	5	53.4770	0.5860	0.2620	708.8398	13.9028	29779369984	256	1013	760	509	0.7502	2.4931	0.8566	0.6365	e351b10a45d06917;8962c94bfbccaa4e;6f0678013900ae59;a194804e9c7c88a6;4d571693bfa73658	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
qwen38-kv-f16-base-rep2	2026-08-16	vulkan	UD-Q4_K_XL	f16/f16	163840	512	none			5	29.3614	0.0124	0.0056	747.4345	1.2851	28259205120	256	0	0	0					77e8d9c124f13ebf;44032471c1f9fadd;249ca6573642cc82;cc3ab35d02c8589f;6db586cf25264355	passed	Greedy, ignore_eos, 256 tokens, 5 reps after discarded warmup
