from_state	to_state	load_stage_s	condition_prep_s	sample_generation_s	decode_s	wall_s	peak_vram_gib	notes
LTX	LTX	0.00	11.55	13.92	3.95	30.22	21.41	steady-state same-family transition
H3_FL2VA	H3_FL2VA	0.00	4.97	22.37	5.03	33.25	21.41	Qwen offloaded before sampler
LTX	H3_FL2VA	5.72	4.90	22.09	5.07	38.68	21.41	Gemma/LTX evicted; Qwen stages then offloads; H3 DiT loads
H3_FL2VA	LTX	5.90	22.17	13.92	4.00	46.68	22.18	H3 evicted; positive+negative Gemma prompts freshly encoded
H3_FL2VA	H3_REF2VA	4.03	12.39	26.47	5.31	49.19	21.41	FL2VA checkpoint swapped for Ref2VA
H3_REF2VA	H3_FL2VA	2.78	8.21	22.20	5.27	39.49	21.41	Ref2VA checkpoint swapped back to FL2VA
