experiment_run_id	bundle	topology	state	prompt_label	seed	prompt_id	prompt_to_artifact_seconds	delivered_duration_seconds	wall_seconds_per_output_second	width	height	frames	fps	steps	workflow_path	workflow_sha256	artifact_source_path	artifact_sha256	model_placement	validation_status	notes
20260812-101311	dual-gpu-residency-20260812-101311	single-r9700	process-model-cold	A	8112026	577065b0-8f15-4a35-be5a-3942112dbe6e	80.673	5.167	15.61	864	480	124	24	4	workflows/minimax-h3/minimax-h3-turbo-v4-4-control-api.json	64b57c6b8322bd55c183543eb022895e55cdfebd89095b97556f046f319db262	/ai/artifacts/runs/minimax-h3/dual-gpu-residency-20260812-101311/single-cold-prompt-a_00001_.mp4	13cc3765ee7286dbe08e0c2810aad0f23d4dad6a326f005466810d95cef98a40	all H3 components on R9700	validated-media	full decode; stereo AAC; no black interval; source health clean
20260812-101311	dual-gpu-residency-20260812-101311	single-r9700	warm-same-prompt	A	8112027	e528a0ce-4d68-4076-8705-3616e9f4259e	70.436	5.167	13.63	864	480	124	24	4	workflows/minimax-h3/minimax-h3-turbo-v4-4-control-api.json	64b57c6b8322bd55c183543eb022895e55cdfebd89095b97556f046f319db262	/ai/artifacts/runs/minimax-h3/dual-gpu-residency-20260812-101311/single-same-prompt-new-seed_00001_.mp4	c4988036bf80f1b6ce0529ed10892c86e8da69175106b2c9900c125bc70a9a6a	all H3 components on R9700	validated-media	full decode; stereo AAC; no black interval; source health clean
20260812-101311	dual-gpu-residency-20260812-101311	single-r9700	warm-changed-prompt	B	8112027	0d0362d1-b3b9-4d21-bab5-37b00e6d8f77	75.456	5.167	14.60	864	480	124	24	4	workflows/minimax-h3/minimax-h3-turbo-v4-4-control-api.json	64b57c6b8322bd55c183543eb022895e55cdfebd89095b97556f046f319db262	/ai/artifacts/runs/minimax-h3/dual-gpu-residency-20260812-101311/single-changed-prompt-b_00001_.mp4	b81fff3c441f42d20e69a143d6047468b75eec5ebab304d286d31b76fb0971ea	all H3 components on R9700	validated-media	full decode; stereo AAC; no black interval; source health clean
20260812-101311	dual-gpu-residency-20260812-101311	dual-gpu-initial-aggressive-offload	process-model-cold	A	8112026	a469018c-40e9-4e16-937f-41befdb3ff36	80.044	5.167	15.49	864	480	124	24	4	workflows/minimax-h3/h3-dualgpu-shakedown-5s-turbo-v4-api.json	1dd5380b0a44c0d3a1067cda6905b4ef18972f72c7c58696d493d2c00675fedf	/ai/artifacts/runs/minimax-h3-dualgpu/dual-gpu-residency-20260812-101311/dual-cold-prompt-a_00001_.mp4	110686c4344bc47eb15d0855962b04d2c2ce2f6a1522c0b166f3c72ae6f932b5	intended Qwen on RX 7900 XT; aggressive offload observed	validated-media-placement-failed	full decode; stereo AAC; valid output, but encoder residency objective failed
20260812-101311	dual-gpu-residency-20260812-101311	dual-gpu-initial-aggressive-offload	warm-same-prompt	A	8112027	c83cca2c-4ba5-4e17-98ef-dd08ce198635	70.969	5.167	13.74	864	480	124	24	4	workflows/minimax-h3/h3-dualgpu-shakedown-5s-turbo-v4-api.json	1dd5380b0a44c0d3a1067cda6905b4ef18972f72c7c58696d493d2c00675fedf	/ai/artifacts/runs/minimax-h3-dualgpu/dual-gpu-residency-20260812-101311/dual-same-prompt-new-seed_00001_.mp4	d646e919ac528d1b61aa8d9556dca50b404a7767bf97803b9403320e52339a41	intended Qwen on RX 7900 XT; aggressive offload observed	validated-media-placement-failed	full decode; stereo AAC; valid output, but encoder residency objective failed
20260812-101311	dual-gpu-residency-20260812-101311	dual-gpu-initial-aggressive-offload	warm-changed-prompt	B	8112027	f5dfd05b-f90b-460a-944d-d06262fe97f2	74.119	5.167	14.34	864	480	124	24	4	workflows/minimax-h3/h3-dualgpu-shakedown-5s-turbo-v4-api.json	1dd5380b0a44c0d3a1067cda6905b4ef18972f72c7c58696d493d2c00675fedf	/ai/artifacts/runs/minimax-h3-dualgpu/dual-gpu-residency-20260812-101311/dual-changed-prompt-b_00001_.mp4	9c5cdf0e7e5e95aa2b8a00b16af050f75d9f270e266f2cb90521e88398045a8c	intended Qwen on RX 7900 XT; aggressive offload observed	validated-media-placement-failed	full decode; stereo AAC; valid output, but Qwen reloaded after host offload
20260812-102534	dual-gpu-residency-20260812-102534	dual-gpu-corrected-residency	process-model-cold	A	8112026	5533ecc9-949d-4a39-adf4-38e3f73ed6e6	76.867	5.167	14.88	864	480	124	24	4	workflows/minimax-h3/h3-dualgpu-shakedown-5s-turbo-v4-api.json	1dd5380b0a44c0d3a1067cda6905b4ef18972f72c7c58696d493d2c00675fedf	/ai/artifacts/runs/minimax-h3-dualgpu/dual-gpu-residency-20260812-102534/dual-cold-prompt-a_00001_.mp4	76777a798130641bc64bf0fba233bd2f08f3fec5051cd4016a535b9ad71bae37	Qwen on RX 7900 XT; H3/sampling/VAE on R9700	validated-media-residency	full decode; stereo AAC; no black interval; no second Qwen load event
20260812-102534	dual-gpu-residency-20260812-102534	dual-gpu-corrected-residency	warm-same-prompt	A	8112027	8b28618b-5171-4a3e-9f17-f1f030693f16	68.003	5.167	13.16	864	480	124	24	4	workflows/minimax-h3/h3-dualgpu-shakedown-5s-turbo-v4-api.json	1dd5380b0a44c0d3a1067cda6905b4ef18972f72c7c58696d493d2c00675fedf	/ai/artifacts/runs/minimax-h3-dualgpu/dual-gpu-residency-20260812-102534/dual-same-prompt-new-seed_00001_.mp4	32b46d67ef59788f47ef16e6374ecbcb01105c1e2a730911685a5caed140114b	Qwen on RX 7900 XT; H3/sampling/VAE on R9700	validated-media-residency	full decode; stereo AAC; no black interval; no second Qwen load event
20260812-102534	dual-gpu-residency-20260812-102534	dual-gpu-corrected-residency	warm-changed-prompt	B	8112027	41240f89-91cf-42de-ac00-f434821e514c	69.506	5.167	13.45	864	480	124	24	4	workflows/minimax-h3/h3-dualgpu-shakedown-5s-turbo-v4-api.json	1dd5380b0a44c0d3a1067cda6905b4ef18972f72c7c58696d493d2c00675fedf	/ai/artifacts/runs/minimax-h3-dualgpu/dual-gpu-residency-20260812-102534/dual-changed-prompt-b_00001_.mp4	813ad630abe351f742967264bc3d090c5ae052199833b39559125eb495a1b4f6	Qwen on RX 7900 XT; H3/sampling/VAE on R9700	validated-media-residency	full decode; stereo AAC; no black interval; no second Qwen load event
