run_id	state	model	text_encoder	audio_model	quantization	output_duration_s	steps	sampler	scheduler	load_stage_s	conditioning_s	generation_s	seconds_per_step	decode_s	save_s	wall_s	peak_vram_gib	conditioning_power_avg_w	conditioning_power_peak_w	generation_power_avg_w	generation_power_peak_w	notes
music-a	cold	minimax_music3_dit_int8_convrot.safetensors	minimax_music3_text_encoder_pruned_int8_convrot.safetensors	minimax_music3_dav.safetensors	INT8-ConvRot	15.0	20	res_multistep	simple	2.71	20.40	3.84	0.192	0.43	0.32	28.00	10.46	23.0	57.0	246.5	314.0	CFG 1.5; top_k 50; --disable-mmap
music-b	warm_changed_input	minimax_music3_dit_int8_convrot.safetensors	minimax_music3_text_encoder_pruned_int8_convrot.safetensors	minimax_music3_dav.safetensors	INT8-ConvRot	15.0	20	res_multistep	simple	0	19.87	3.64	0.182	0.40	0.33	24.42	10.52	23.0	57.0	246.5	314.0	model load skipped
music-c	warm_repeated_input	minimax_music3_dit_int8_convrot.safetensors	minimax_music3_text_encoder_pruned_int8_convrot.safetensors	minimax_music3_dav.safetensors	INT8-ConvRot	15.0	20	res_multistep	simple		19.88	3.66	0.183	0.41		24.44						conditioning still executed; no useful cache skip observed
