run_id	date	model	lane	model_repository	model_revision	model_file	model_sha256	adapter_repository	adapter_revision	adapter_file	adapter_sha256	encoder_repository	encoder_revision	encoder_file	encoder_sha256	video_vae_file	video_vae_sha256	audio_vae_file	audio_vae_sha256	quantization	prompt_id	prompt_version	seed	cold_state	startup_seconds	prompt_to_artifact_seconds	restart_to_artifact_seconds	width	height	frames	fps	duration_seconds	wall_seconds_per_output_second	sampler	scheduler	steps	native_audio	workflow_path	workflow_sha256	artifact_source_path	artifact_sha256	validation_status	measurement_notes
R9700-VB1-20260812-H3STD	2026-08-12	MiniMax H3 Standard	FP8 standard	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	12944c1f7791637e7de12208aef04da82bd26b95271b1b47d817364315ade993		unknown			https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors	35a88d51044231fe332301d7a62aa81e3f2cba62febeb446e2c1e3e0ef76f2c6	minimax_h3_video_vae_fp16.safetensors	7c1f131492e7eddacaac9069a61b81bdd39de5cc96561e677c5eab1cdce5e522	minimax_h3_audio_vae_fp32.safetensors	8e505d95dd1561d47abd43d4238fd40d9bb1ae9e147ed0a4cba778d76ae4db48	FP8 scaled	5897f14a-c699-4b4f-bae7-b67362584320	R9700 Video Benchmark v1	8112026	process-cold/model-cold; filesystem and compiled-kernel caches warm	5.175	261.038	266.213	864	480	124	24	5.167	50.52	res_multistep	simple	20	stereo AAC; 32 kHz	workflows/minimax-h3/MiniMax-H3-Native-FP8.json	23353acceadd769c352bc5a2fd367712ca448de1505c0946d570cd4d7d10b277	/ai/artifacts/runs/minimax-h3/minimax-h3/cold-brass-robot-standard-fp8-20_00001_.mp4	780f9b78401fc093269bf27e5364c259ba4ffe06ca70730c8070d5f5b58f95f3	valid; full decode; non-silent audio; queue idle; run-window error scan clean	One successful v1 cold run; no variance study.
R9700-VB1-20260812-H3TURBO	2026-08-12	MiniMax H3 Turbo v4	Turbo v4 FP8	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	12944c1f7791637e7de12208aef04da82bd26b95271b1b47d817364315ade993	https://huggingface.co/larryvrh/MiniMax-H3-Turbo-Lora	43a74557ac3f6539db8e0f2a959d03feb7a81480	minimax_h3_turbo_v4_step600_ema.safetensors	5f3a626cd72c93a8b9318d6760c510bc5092d2ab13aaba1f932c5bab07a416d3	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors	35a88d51044231fe332301d7a62aa81e3f2cba62febeb446e2c1e3e0ef76f2c6	minimax_h3_video_vae_fp16.safetensors	7c1f131492e7eddacaac9069a61b81bdd39de5cc96561e677c5eab1cdce5e522	minimax_h3_audio_vae_fp32.safetensors	8e505d95dd1561d47abd43d4238fd40d9bb1ae9e147ed0a4cba778d76ae4db48	FP8 scaled + Turbo v4 EMA	c348e5e6-cd3f-44ca-974e-46090986abe8	R9700 Video Benchmark v1	8112026	process-cold/model-cold; filesystem and compiled-kernel caches warm	3.873	80.927	84.800	864	480	124	24	5.167	15.66	res_multistep	simple	4	stereo AAC; 32 kHz	workflows/minimax-h3/MiniMax-H3-Turbo-v4-FP8.json	da892ad99a5491dd1e100a9428972b4215f75e5e7c894b10c9c42d4965a1d23f	/ai/artifacts/runs/minimax-h3/minimax-h3/cold-brass-robot-turbo-v4-4_00001_.mp4	abc3e2680b3ca2b188ae9f60300017faa40e0cc349f4f11c60056671a276556e	valid; full decode; non-silent audio; queue idle; run-window error scan clean	One successful v1 cold run; Turbo adapter strength 1.0.
R9700-VB1-20260812-LTX25	2026-08-12	LTX-2.5 distilled	LTX-2.5 INT8	https://huggingface.co/Lightricks/LTX-2.5	unknown	ltx-2.5-22b-distilled-transformer-comfy-int8-convrot.safetensors	unknown		unknown			https://huggingface.co/Lightricks/LTX-2.5	unknown	gemma4-12b-with-proj-ltx-2.5-comfy-int8-convrot.safetensors	unknown	ltx-2.5-video-vae-bf16.safetensors	unknown	ltx-2.5-audio-vae-bf16.safetensors	unknown	INT8 convrot distilled	bb51d0be-9065-42d9-9965-0e1aad5578bf	R9700 Video Benchmark v1	8112026	process-cold/model-cold; filesystem and compiled-kernel caches warm	3.889	67.035	70.924	896	512	121	24	5.042	13.30	Euler ancestral + refinement	distilled schedule; CFG 1	8+3	stereo AAC; 48 kHz	workflows/ltx-2.5/LTX-2.5-Brass-Robot-Comparison.json	db11db4591a280c5e668882084a3b40f62c0d1287fe841541deaae7e7736a4bf	/ai/artifacts/runs/ltx-2.5/cold-brass-robot-LTX25-native-896x512.mp4	2adeee6d0e47242b9a391e71c8e4012c6dfc1df4f1436f35c12a051e5dd10ec9	valid; full decode; non-silent audio; queue idle; run-window error scan clean	One successful v1 cold run; native 896x512 differs from H3 geometry.
