model	lane	artifact_source_path	artifact_sha256	validation_status	notes
MiniMax H3 Standard	FP8 standard	/ai/artifacts/runs/minimax-h3/minimax-h3/cold-brass-robot-standard-fp8-20_00001_.mp4	780f9b78401fc093269bf27e5364c259ba4ffe06ca70730c8070d5f5b58f95f3	validated in source report	H.264 864x480; 124 frames; stereo AAC 32 kHz; not tracked here
MiniMax H3 Turbo v4	Turbo v4 FP8	/ai/artifacts/runs/minimax-h3/minimax-h3/cold-brass-robot-turbo-v4-4_00001_.mp4	abc3e2680b3ca2b188ae9f60300017faa40e0cc349f4f11c60056671a276556e	validated in source report	H.264 864x480; 124 frames; stereo AAC 32 kHz; not tracked here
LTX-2.5 distilled	INT8	/ai/artifacts/runs/ltx-2.5/cold-brass-robot-LTX25-native-896x512.mp4	2adeee6d0e47242b9a391e71c8e4012c6dfc1df4f1436f35c12a051e5dd10ec9	validated in source report	H.264 896x512; 121 frames; stereo AAC 48 kHz; not tracked here
