run_order	previous_workflow	workflow	mode	artifact	wall_seconds	peak_vram_gib	prompt_id	models	preflight_state
1	cold_init	ltx25	LTX 2.5 Video — The Artifact Forge	01-ltx-boxwrench-artifact-forge_00001_.mp4	11.48	NA	5016503f-1502-4cf0-b803-b3a82cb19e78	ltx-2.5-22b-distilled-transformer-comfy-int8-convrot.safetensors,gemma4-12b-with-proj-ltx-2.5-comfy-int8-convrot.safetensors,ltx-2.5-video-vae-bf16.safetensors	PASS
2	ltx25	h3_t2v	MiniMax H3 Text-to-Video — Machine Cathedral	02-h3-t2v-boxwrench-cathedral_00001_.mp4	131.94	27.58	c4b638c1-62ba-4545-b038-3ca5205e3dae	minimax_h3_fl2va_pruned_fp8_scaled.safetensors,qwen3vl_32b_minimax_h3_fp8.safetensors,minimax_h3_video_vae_fp16.safetensors,minimax_h3_audio_vae_fp32.safetensors	PASS
3	h3_t2v	h3_i2v	MiniMax H3 Image-to-Video — Forge Awakening	03-h3-i2v-boxwrench-forge-awakening_00001_.mp4	49.16	NA	c204b5d0-a328-4366-9147-083f63a72dce	minimax_h3_fl2va_pruned_fp8_scaled.safetensors,qwen3vl_32b_minimax_h3_fp8.safetensors,minimax_h3_video_vae_fp16.safetensors,minimax_h3_audio_vae_fp32.safetensors	PASS
4	h3_i2v	music3	MiniMax Music 3 — Signal Against the End	04-music3-signal-against-the-end_00001.flac	28.48	NA	51fad938-36bc-4d14-9ccf-851b8d8a6767	minimax_music3_dit_int8_convrot.safetensors,minimax_music3_text_encoder_pruned_int8_convrot.safetensors,minimax_music3_dav.safetensors	PASS
5	music3	h3_r2v	MiniMax H3 Reference-to-Video — Observatory	05-h3-r2v-boxwrench-observatory_00001_.mp4	81.47	NA	6dd30fec-7d0c-47c6-a742-9e6408668975	minimax_h3_ref2va_pruned_fp8_scaled.safetensors,qwen3vl_32b_minimax_h3_fp8.safetensors,minimax_h3_video_vae_fp16.safetensors,minimax_h3_audio_vae_fp32.safetensors	PASS
6	h3_r2v	ltx25	LTX 2.5 Video — Return Run (Signal Vault)	06-ltx-boxwrench-signal-return_00001_.mp4	23.62	NA	ce215c01-bb7f-437a-a2fa-d85c6d1e9809	ltx-2.5-22b-distilled-transformer-comfy-int8-convrot.safetensors,gemma4-12b-with-proj-ltx-2.5-comfy-int8-convrot.safetensors,ltx-2.5-video-vae-bf16.safetensors	PASS
